label,replicate,budget,n_eval,eval_base_accuracy,n_train_traces,n_correct_traces,n_probe_traces,n_token_probe_rows,train_base_accuracy,auroc_rmd_tail_q20,auroc_probe_hidden_tail_q20,auroc_probe_token_tail_q20,aurc_B0,auacc_B0,excess_aurc_B0,aurc_B0_rmd,auacc_B0_rmd,excess_aurc_B0_rmd,aurc_B0_probe,auacc_B0_probe,excess_aurc_B0_probe,aurc_B0_token_probe,auacc_B0_token_probe,excess_aurc_B0_token_probe,aurc_B0_both,auacc_B0_both,excess_aurc_B0_both,delta_aurc_B0_rmd_minus_B0,delta_aurc_B0_probe_minus_B0,delta_aurc_B0_rmd_minus_B0_probe,delta_aurc_B0_both_minus_B0_rmd,delta_aurc_B0_token_probe_minus_B0,delta_aurc_B0_rmd_minus_B0_token_probe,seconds
qwen,9,100,314,0.6910828025477707,800,447,731,74095,0.64,0.830443251460877,0.7902513183524158,0.8037436457788968,0.1979452843946491,0.7988700022295547,-0.10778719968178407,0.11564637413616508,0.8811689124880387,-0.1900861099402681,0.13009245118221002,0.8667228354419938,-0.17564003289422314,0.12119692206645916,0.8756183645577447,-0.184535562009974,0.11830565891837896,0.8785096277058249,-0.1874268251580542,-0.08229891025848401,-0.06785283321243907,-0.014446077046044947,0.0026592847822138888,-0.07674836232818993,-0.005550547930294081,55.590094566345215
deepseek,0,25,318,0.7830188679245284,200,149,180,43055,0.76,0.671381176881439,0.7224841394563761,0.6188231185612013,0.1339544445405122,0.8629009013714375,-0.07988203344690914,0.13334779584759449,0.8635075500643552,-0.08048868213982685,0.16797138097911757,0.8288839649328321,-0.04586509700830377,0.15963937505875547,0.8372159708531942,-0.05419710292866586,0.13360697259844823,0.8632483733135015,-0.08022950538897311,-0.0006066486929177106,0.03401693643860537,-0.03462358513152308,0.00025917675085374015,0.025684930518243276,-0.026291579211160987,61.962886095047
deepseek,0,50,318,0.7830188679245284,400,302,363,85125,0.78,0.7317967522262966,0.7582794947907573,0.6829055351842152,0.12895641553991022,0.8678989303720395,-0.08488006244751112,0.09111818785264558,0.9057371580593041,-0.12271829013477575,0.11232142843211901,0.8845339174798307,-0.10151504955530233,0.09960437761448182,0.8972509682974679,-0.11423210037293952,0.09028156557655709,0.9065737803353926,-0.12355491241086425,-0.037838227687264636,-0.01663498710779121,-0.021203240579473426,-0.0008366222760884945,-0.029352037925428398,-0.008486189761836238,80.04188966751099
deepseek,0,100,318,0.7830188679245284,800,596,725,170616,0.8,0.7397706769105408,0.7561259530877131,0.6705081194342587,0.1781232764830113,0.8187320694289384,-0.03571320150441004,0.1220934932114045,0.8747618527005452,-0.09174298477601683,0.1013505425198431,0.8955048033921066,-0.11248593546757824,0.20004210675585476,0.7968132391560949,-0.013794371231566571,0.09672238077554562,0.9001329651364041,-0.11711409721187571,-0.05602978327160679,-0.0767727339631682,0.0207429506915614,-0.025371112435858878,0.02191883027284347,-0.07794861354445026,117.74160408973694
deepseek,1,25,312,0.7980769230769231,200,127,181,44277,0.68,0.6554471855676675,0.6873844584687957,0.6302671001466182,0.18438908897136397,0.8124057828235078,-0.01432885974658471,0.1878803711834217,0.8089145006114501,-0.010837577534526965,0.1824444324372665,0.8143504393576053,-0.016273516280682188,0.21615971148415614,0.7806351603107157,0.017441762766207458,0.1863034954753009,0.8104913763195709,-0.012414453242647783,0.0034912822120577447,-0.0019446565340974775,0.005435938746155222,-0.0015768757081208173,0.03177062251279217,-0.028279340300734424,56.8275408744812
deepseek,1,50,312,0.7980769230769231,400,275,371,89102,0.74,0.74692420475553,0.7541913686492,0.7433543698603939,0.20038854152910324,0.7964063302657686,0.0016705928111545587,0.155093438834069,0.8417014329608028,-0.04362450988387967,0.16113533158073567,0.8356595402141361,-0.037582617137213004,0.2936731954983549,0.7031216762965169,0.09495524678040623,0.13949624111800274,0.8572986306768691,-0.05922170759994594,-0.04529510269503423,-0.03925320994836756,-0.006041892746666666,-0.015597197716066269,0.09328465396925167,-0.1385797566642859,73.30057311058044
deepseek,1,100,312,0.7980769230769231,800,578,732,170756,0.78,0.7305412124689232,0.741505705361127,0.7911646586345382,0.1661722721353709,0.8306225996595009,-0.03254567658257779,0.13116279745483972,0.8656320743400321,-0.06755515126310896,0.09755634505389688,0.8992385267409749,-0.1011616036640518,0.08323367464344311,0.9135611971514287,-0.11548427407450557,0.10017961969616762,0.8966152520987042,-0.09853832902178106,-0.03500947468053117,-0.06861592708147402,0.03360645240094284,-0.030983177758672098,-0.08293859749192778,0.04792912281139661,117.62481427192688
deepseek,2,25,314,0.8057324840764332,200,124,180,42672,0.64,0.623857966694745,0.6228212272403292,0.5837491090520314,0.1346464447563226,0.8621688418678812,-0.056436357791448066,0.12062125399693235,0.8761940326272715,-0.0704615485508383,0.15763189277694134,0.8391833938472625,-0.03345090977082932,0.14324775494963793,0.8535675316745659,-0.04783504759813273,0.1459511986253913,0.8508640879988125,-0.04513160392237936,-0.014025190759390238,0.02298544802061875,-0.037010638780008986,0.025329944628458945,0.008601310193315337,-0.022626500952705575,58.81024384498596
deepseek,2,50,314,0.8057324840764332,400,286,367,86540,0.74,0.6701872610639539,0.7353074580444502,0.6181558996954578,0.15919438320305768,0.8376209034211461,-0.03188841934471298,0.10905969077459354,0.8877555958496103,-0.08202311177317712,0.17230964672416238,0.8245056399000414,-0.01877315582360828,0.1637894442491188,0.833025842375085,-0.02729335829865187,0.12292821450996627,0.8738870721142376,-0.06815458803780439,-0.050134692428464134,0.013115263521104703,-0.06324995594956884,0.013868523735372729,0.004595061046061111,-0.054729753474525245,71.22000670433044
deepseek,2,100,314,0.8057324840764332,800,545,718,170768,0.72,0.7114624505928855,0.8153307846821746,0.736732974794272,0.14560086105659453,0.8512144255676093,-0.045481941491176126,0.15367369428441757,0.8431415923397862,-0.037409108263353086,0.09001779503346019,0.9067974915907436,-0.10106500751431047,0.15934862615256362,0.8374666604716402,-0.03173417639520704,0.10130850893139554,0.8955067776928083,-0.08977429361637512,0.00807283322782304,-0.05558306602313434,0.06365589925095738,-0.05236518535302204,0.013747765095969089,-0.005674931868146049,118.03974437713623
