label,replicate,budget,n_eval,eval_base_accuracy,n_train_traces,n_correct_traces,n_probe_traces,train_base_accuracy,auroc_rmd_tail_q20,auroc_probe_hidden_tail_q20,aurc_B0,auacc_B0,excess_aurc_B0,aurc_B0_rmd,auacc_B0_rmd,excess_aurc_B0_rmd,aurc_B0_probe,auacc_B0_probe,excess_aurc_B0_probe,aurc_B0_both,auacc_B0_both,excess_aurc_B0_both,delta_aurc_B0_rmd_minus_B0,delta_aurc_B0_probe_minus_B0,delta_aurc_B0_rmd_minus_B0_probe,delta_aurc_B0_both_minus_B0_rmd,seconds
qwen,7,400,78,0.6538461538461539,3200,1810,2951,0.6275,0.814088598402324,0.8140885984023238,0.23602116472674906,0.7511583224527382,-0.09731216860658432,0.1865814408779758,0.8005980463015114,-0.14675189245535758,0.18229283186517453,0.8048866553143127,-0.15104050146815884,0.18295194174876572,0.8042275454307215,-0.15038139158456765,-0.049439723848773265,-0.053728332861574524,0.004288609012801259,-0.0036294991292100676,145.90371346473694
qwen,8,25,73,0.7534246575342466,200,78,185,0.44,0.8363636363636363,0.7707070707070707,0.1435091242859574,0.8427922455770562,-0.08936758804280964,0.08076544106884964,0.905535928794164,-0.1521112712599174,0.12977517469329736,0.8565261951697163,-0.1031015376354697,0.08115353600720154,0.9051478338558121,-0.1517231763215655,-0.06274368321710777,-0.013733949592660055,-0.049009733624447716,0.0003880949383519017,17.076563835144043
qwen,8,50,73,0.7534246575342466,400,230,376,0.62,0.8545454545454545,0.8696969696969696,0.13563322609650785,0.8506681437665058,-0.0972434862322592,0.08073213044293759,0.905569239420076,-0.15214458188582947,0.08278714571862311,0.9035142241443905,-0.15008956661014394,0.0734755405212999,0.9128258293417137,-0.15940117180746716,-0.054901095653570264,-0.05284608037788474,-0.0020550152756855233,-0.0072565899216376906,26.17879295349121
qwen,8,100,73,0.7534246575342466,800,453,745,0.61,0.8282828282828283,0.8191919191919192,0.1349674832483303,0.8513338866146833,-0.09790922908043675,0.08125770729558868,0.905043662567425,-0.15161900503317838,0.13153849367488912,0.8547628761881245,-0.10133821865387793,0.08159182022575906,0.9047095496372546,-0.151284892103008,-0.05370977595274162,-0.003428989573441177,-0.050280786379300446,0.0003341129301703827,40.30114269256592
qwen,8,200,73,0.7534246575342466,1600,885,1491,0.6,0.8090909090909091,0.8818181818181818,0.13005897710520942,0.8562423927578042,-0.10281773522355764,0.10799494673479171,0.8783064231282219,-0.12488176559397535,0.07419962602384944,0.9121017438391642,-0.15867708630491761,0.09950179260052705,0.8867995772624866,-0.13337491972824,-0.02206403037041771,-0.055859351081359976,0.03379532071094227,-0.008493154134264658,70.60706043243408
qwen,8,400,73,0.7534246575342466,3200,1748,2955,0.6025,0.8272727272727273,0.8818181818181818,0.1504753945505266,0.835825975312487,-0.08240131777824045,0.0930692488034266,0.893232121059587,-0.13980746352534046,0.06352673378824625,0.9227746360747674,-0.1693499785405208,0.06900248300725731,0.9172988868557563,-0.16387422932150975,-0.05740614574710001,-0.08694866076228036,0.02954251501518035,-0.024066765796169287,136.8444266319275
qwen,9,25,85,0.7411764705882353,200,130,196,0.72,0.8672438672438673,0.8203463203463204,0.24993011508139118,0.7383051790362559,0.0028712915519794047,0.10305693954537554,0.8851783545722716,-0.14400188398403624,0.10505538007533155,0.8831799140423156,-0.14200344345408022,0.08252585704730464,0.9057094370703425,-0.16453296648210713,-0.14687317553601564,-0.14487473500605963,-0.0019984405299560137,-0.020531082498070896,20.128029346466064
qwen,9,50,85,0.7411764705882353,400,234,375,0.68,0.7914862914862913,0.727994227994228,0.3040002810575988,0.6842350130600483,0.05694145752818702,0.11377218282787582,0.8744631112897713,-0.13328664070153595,0.15663262199541172,0.8316026721222354,-0.09042620153400005,0.1147375987831254,0.8734976953345217,-0.13232122474628638,-0.19022809822972297,-0.14736765906218707,-0.0428604391675359,0.0009654159552495711,25.568549871444702
qwen,9,100,85,0.7411764705882353,800,447,731,0.64,0.7972582972582972,0.7222222222222222,0.1834112922235368,0.8048240018941103,-0.06364753130587497,0.0980553211257259,0.8901799729919212,-0.14900350240368587,0.13465157220154556,0.8535837219161015,-0.11240725132786622,0.10456848525000773,0.8836668088676394,-0.14249033827940405,-0.0853559710978109,-0.04875972002199125,-0.03659625107581965,0.006513164124281823,39.23348689079285
qwen,9,200,85,0.7411764705882353,1600,909,1480,0.63,0.823953823953824,0.7784992784992785,0.16799129691928028,0.8202439971983668,-0.0790675266101315,0.09071414557938584,0.8975211485382613,-0.15634467795002593,0.11580009778893618,0.8724351963287109,-0.1312587257404756,0.09740344474877083,0.8908318493688763,-0.14965537878064095,-0.07727715133989443,-0.05219119913034409,-0.025085952209550344,0.006689299169384988,70.20826697349548
qwen,9,400,85,0.7411764705882353,3200,1726,2912,0.605,0.8152958152958153,0.8225108225108225,0.161630490882685,0.8266048032349621,-0.08542833264672678,0.09114873557827119,0.8970865585393759,-0.15591008795114059,0.0955951187691384,0.8926401753485087,-0.15146370476027338,0.08857458242949912,0.899660711688148,-0.15848424109991266,-0.0704817553044138,-0.0660353721135466,-0.004446383190867209,-0.0025741531487720737,136.53133630752563
